period,control_raw_forecast_band,variant,games,mean_prediction,mean_actual,actual_minus_forecast_bias,mae,rmse,crps,ladder_brier,ladder_log_loss,ladder_ece
2026_SEQUENTIAL_EARLY,>=10.0,B_PARK_ONLY,47,10.169475504440042,11.425531914893616,1.2560564104535756,3.4573194191680297,4.529825368108156,2.5702983376150295,0.21040776484559556,0.6097220539853736,0.150476396361995
2026_SEQUENTIAL_EARLY,>=10.0,C_CONFIDENCE_ONLY,47,10.368972752323367,11.425531914893616,1.0565591625702502,3.433519252124723,4.519308245869629,2.56014736911203,0.20764748894477414,0.60394583949898,0.13837639409237043
2026_SEQUENTIAL_EARLY,>=10.0,D_LOW_DEPTH,47,10.367675397969512,11.425531914893616,1.0578565169241039,3.4330247673414447,4.518877126511532,2.559892443928524,0.20763816993540962,0.6039256800231161,0.13989373426785676
2026_LATE_HOLDOUT,<7.5,A_CONTROL,14,7.42021180476048,9.642857142857142,2.222645338096662,3.1533411347896783,4.622452745873976,2.535416751605614,0.23988267086923662,0.6761206538586203,0.1784625050021359
2026_LATE_HOLDOUT,<7.5,B_PARK_ONLY,14,8.155391755826104,9.642857142857142,1.487465387031039,3.1697360898744598,4.386832416660504,2.407165832850345,0.22910582724289455,0.6543847013388354,0.11303985337144797
2026_LATE_HOLDOUT,<7.5,C_CONFIDENCE_ONLY,14,8.252242417466093,9.642857142857142,1.390614725391051,3.1536957234332603,4.358972932887074,2.382298755354458,0.22546891145345999,0.6446862756513896,0.10444637220344014
2026_LATE_HOLDOUT,<7.5,D_LOW_DEPTH,14,8.246868511492874,9.642857142857142,1.3959886313642682,3.15292289896533,4.362567030528825,2.3837071542780066,0.2255525562188508,0.6448941245985149,0.10491477725458029
2026_LATE_HOLDOUT,7.5-7.99,A_CONTROL,144,7.788793064095807,8.722222222222221,0.9334291581264154,3.2318166171127456,4.127338403857226,2.348457480774564,0.2335924771762685,0.6623820279997957,0.09100072524906078
2026_LATE_HOLDOUT,7.5-7.99,B_PARK_ONLY,144,8.328007758157625,8.722222222222221,0.3942144640645975,3.269030341364181,4.0704594420537035,2.3093603562979115,0.22921881265105254,0.6512061126129778,0.04353495700599381
2026_LATE_HOLDOUT,7.5-7.99,C_CONFIDENCE_ONLY,144,8.492055129931636,8.722222222222221,0.23016709229058796,3.261841514765659,4.031680655969593,2.28507528861203,0.2264113477770975,0.6449584929339259,0.02922837393371054
2026_LATE_HOLDOUT,7.5-7.99,D_LOW_DEPTH,144,8.488747260672959,8.722222222222221,0.23347496154926173,3.2621321467409454,4.032505346591688,2.2856189599699355,0.22647327965221042,0.6451015047711813,0.02951353372599773
2026_LATE_HOLDOUT,8.0-8.49,A_CONTROL,169,8.233683722809955,8.49112426035503,0.25744053754507573,3.709531552581894,4.698175296522981,2.5733486435457333,0.2280549895832373,0.6483381847890822,0.029879714995568428
2026_LATE_HOLDOUT,8.0-8.49,B_PARK_ONLY,169,8.73743795109054,8.49112426035503,-0.24631369073551115,3.8458132789374186,4.75092033623204,2.6121996498700266,0.23303529413947555,0.6588571367425835,0.049512954878476095
2026_LATE_HOLDOUT,8.0-8.49,C_CONFIDENCE_ONLY,169,8.938408195723564,8.49112426035503,-0.4472839353685354,3.8450606802445377,4.727389537087665,2.598386452568981,0.23137082406666104,0.6549115832622667,0.053778245231856925
2026_LATE_HOLDOUT,8.0-8.49,D_LOW_DEPTH,169,8.936275250571335,8.49112426035503,-0.44515099021630383,3.8451397144634396,4.727406971136533,2.5984900719411343,0.23138996762338995,0.6549521935460326,0.05365923317594771
2026_LATE_HOLDOUT,8.5-8.99,A_CONTROL,76,8.678445380811862,8.578947368421053,-0.09949801239080894,4.07711575868888,4.86882073453602,2.750522952583152,0.23188373159382455,0.656348539429466,0.05873782783531613
2026_LATE_HOLDOUT,8.5-8.99,B_PARK_ONLY,76,9.08053591554652,8.578947368421053,-0.5015885471254657,4.187702201580492,4.876467097768896,2.7655234776850772,0.23563608363273006,0.6637979681790587,0.08814357109924481
