period,feature,support_band,training_max,variant,games,mean_prediction,mean_actual,actual_minus_forecast_bias,mae,rmse,crps,ladder_brier,ladder_log_loss,ladder_ece
PROSPECTIVE_AUG06_15,home_starter_prior_starts,WITHIN_TRAINING_SUPPORT,65.0,B_PARK_ONLY,84,8.60949416793686,8.916666666666666,0.3071724987298054,3.0126141509818702,3.780343767591668,2.1479846174692594,0.21695495528895242,0.6245370776232755,0.03866260488870571
PROSPECTIVE_AUG06_15,home_starter_prior_starts,WITHIN_TRAINING_SUPPORT,65.0,C_CONFIDENCE_ONLY,84,8.791355812775853,8.916666666666666,0.1253108538908117,3.0020173578515754,3.737676996405608,2.124521672791536,0.21457833516405184,0.6191723576480587,0.04453616469132344
PROSPECTIVE_AUG06_15,home_starter_prior_starts,WITHIN_TRAINING_SUPPORT,65.0,D_LOW_DEPTH,84,8.788871457128105,8.916666666666666,0.12779520953856094,3.0028851548412083,3.7388331770556524,2.1250722656528813,0.21462686608838139,0.6192756468623444,0.0435672651338082
PROSPECTIVE_AUG06_15,home_starter_prior_starts,ABOVE_TRAINING_MAX,65.0,A_CONTROL,42,8.226377777382961,8.0,-0.22637777738295992,3.754006160133682,4.549459267379658,2.563696838181263,0.22975693720038445,0.6529200942065062,0.03839606477788401
PROSPECTIVE_AUG06_15,home_starter_prior_starts,ABOVE_TRAINING_MAX,65.0,B_PARK_ONLY,42,8.54262811666471,8.0,-0.5426281166647114,3.827687924500218,4.615090213561309,2.5943517963049407,0.23161996173894323,0.6556756551749898,0.039414968866134645
PROSPECTIVE_AUG06_15,home_starter_prior_starts,ABOVE_TRAINING_MAX,65.0,C_CONFIDENCE_ONLY,42,8.716624558335054,8.0,-0.7166245583350549,3.809699300405358,4.604284283069432,2.586485219347085,0.22975877847239373,0.6515648271613889,0.03661095258021945
PROSPECTIVE_AUG06_15,home_starter_prior_starts,ABOVE_TRAINING_MAX,65.0,D_LOW_DEPTH,42,8.713813995063246,8.0,-0.7138139950632464,3.809380466705939,4.603865711622541,2.586310556292686,0.2297579885183095,0.6515690310612029,0.03340779371769828
PROSPECTIVE_AUG06_15,away_starter_prior_starts,WITHIN_TRAINING_SUPPORT,66.0,A_CONTROL,78,7.955946111057314,8.282051282051283,0.3261051709939677,2.8049435324326177,3.4358311322786923,1.9708436634257065,0.21793848313219,0.6272026824527759,0.04549074704397959
PROSPECTIVE_AUG06_15,away_starter_prior_starts,WITHIN_TRAINING_SUPPORT,66.0,B_PARK_ONLY,78,8.654249651879091,8.282051282051283,-0.37219836982780957,2.863454865577286,3.434979043492803,1.9620970477967068,0.21695146072753446,0.6246224387957879,0.03493600759926539
PROSPECTIVE_AUG06_15,away_starter_prior_starts,WITHIN_TRAINING_SUPPORT,66.0,C_CONFIDENCE_ONLY,78,8.69499017155368,8.282051282051283,-0.41293888950239704,2.86067329848628,3.4206266931219664,1.9548520009287944,0.21605690341415917,0.6225127872521418,0.03539935245428536
PROSPECTIVE_AUG06_15,away_starter_prior_starts,WITHIN_TRAINING_SUPPORT,66.0,D_LOW_DEPTH,78,8.692757850851915,8.282051282051283,-0.41070656880063383,2.8612930013084297,3.42114041748541,1.9551092986772163,0.2160889022487478,0.6225820080845361,0.03493790406288473
PROSPECTIVE_AUG06_15,away_starter_prior_starts,ABOVE_TRAINING_MAX,66.0,A_CONTROL,48,8.208399250775235,9.145833333333334,0.9374340825580988,4.014499394874473,4.977346647902926,2.8713080572062175,0.2347634247899446,0.6629960731588012,0.10898650352188514
PROSPECTIVE_AUG06_15,away_starter_prior_starts,ABOVE_TRAINING_MAX,66.0,B_PARK_ONLY,48,8.478258711667605,9.145833333333334,0.6675746216657273,3.9681875415928736,4.94696038481564,2.8406231996683786,0.2297925145949985,0.651644621075693,0.09328457072516239
PROSPECTIVE_AUG06_15,away_starter_prior_starts,ABOVE_TRAINING_MAX,66.0,C_CONFIDENCE_ONLY,48,8.88256013212619,9.145833333333334,0.26327320120714276,3.938423154054741,4.897324732310432,2.804452992804596,0.2254585496524265,0.6420875703655875,0.05347322140605027
PROSPECTIVE_AUG06_15,away_starter_prior_starts,ABOVE_TRAINING_MAX,66.0,D_LOW_DEPTH,48,8.879380788020162,9.145833333333334,0.26645254531317103,3.9386558022136122,4.897941697367958,2.804845591298166,0.2254907894539731,0.6421595210502842,0.053735454907218795
