canonical_season,game_id,summary_rows,summary_teams,summary_home_rows,summary_goal_min,summary_goal_max,source_event_rows,source_goal_rows,source_home_team,source_away_team,final_home_before_so,final_away_before_so,final_home_goals,final_away_goals,score_status,authority_decision,summary_semantic_defect
2023,2023020058,2,2,1,0,0,85,8,WPG,VGK,3,5,3,5,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020059,2,2,1,0,0,79,5,ANA,DAL,2,3,2,3,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020060,2,2,1,0,0,89,11,SEA,CAR,7,4,7,4,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020061,2,2,1,0,0,79,4,COL,CHI,4,0,4,0,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020062,2,2,1,0,0,94,4,SJS,BOS,1,3,1,3,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020063,2,2,1,0,0,98,4,CBJ,CGY,3,1,3,1,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020064,2,2,1,0,0,85,9,NYI,NJD,4,5,4,5,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020065,2,2,1,0,0,88,7,OTT,DET,2,5,2,5,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020066,2,2,1,0,0,91,3,ARI,ANA,2,1,2,1,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020067,2,2,1,0,0,89,4,BUF,NYI,3,1,3,1,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020068,2,2,1,0,0,92,8,FLA,VAN,3,5,3,5,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020069,2,2,1,0,0,92,5,MTL,WSH,3,2,3,2,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020070,2,2,1,0,0,110,7,TBL,TOR,3,4,3,4,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020071,2,2,1,0,0,65,8,CHI,VGK,3,5,3,5,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020072,2,2,1,0,0,92,9,DAL,PHI,5,4,5,4,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020073,2,2,1,0,0,108,9,MIN,CBJ,4,5,4,5,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020074,2,2,1,0,0,81,6,NSH,SJS,5,1,5,1,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020075,2,2,1,0,0,92,6,STL,PIT,4,2,4,2,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020076,2,2,1,0,0,86,10,COL,CAR,6,4,6,4,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020077,2,2,1,0,0,91,5,EDM,WPG,2,3,2,3,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020078,2,2,1,0,0,74,5,SEA,NYR,1,4,1,4,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020079,2,2,1,0,0,89,6,LAK,BOS,2,4,2,4,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020080,2,2,1,0,0,83,8,DET,CGY,6,2,6,2,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
