league,slate_date,game_date,game_id,game_type,home_team_code,away_team_code,player_id,player_name,prop_type,market_key,line,prob_over,prob_under,fair_odds_over_american,fair_odds_under_american,model_pick_side,model_pick_prob,prediction_source_file,generated_at_utc
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,669224,Austin Wells,singles,batter_singles,0.5,0.459048,0.540952,118,-118,under,0.540952,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,669224,Austin Wells,total_bases,batter_bases,0.5,0.569139,0.430861,-132,132,over,0.569139,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,700250,Ben Rice,hits,batter_hits,0.5,0.602106,0.397894,-151,151,over,0.602106,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,700250,Ben Rice,hits_runs_rbis,batter_h+r+rbi,1.5,0.646403,0.353597,-183,183,over,0.646403,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,700250,Ben Rice,singles,batter_singles,0.5,0.459048,0.540952,118,-118,under,0.540952,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,700250,Ben Rice,total_bases,batter_bases,1.5,0.61713,0.38287,-161,161,over,0.61713,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,607043,Brandon Nimmo,hits,batter_hits,0.5,0.564317,0.435683,-130,130,over,0.564317,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,607043,Brandon Nimmo,hits_runs_rbis,batter_h+r+rbi,1.5,0.355239,0.644761,182,-182,under,0.644761,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,607043,Brandon Nimmo,singles,batter_singles,0.5,0.508955,0.491045,-104,104,over,0.508955,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,607043,Brandon Nimmo,total_bases,batter_bases,1.5,0.513724,0.486276,-106,106,over,0.513724,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
