player_id,game_id,team_id,opponent_id,is_home,game_date,season,season_5on5_icetime_per_game,season_5on5_shifts_per_game,szn_toi_per_game_5on5,szn_toi_per_game_pp,szn_toi_per_game_pk,szn_shifts_per_game_pp,szn_shifts_per_game_pk,d5_sog_per60,d10_sog_per60,d20_sog_per60,attempts_d10_per60,rest_days,b2b_flag,pace_matchup_index
8478109,2025020699,21,29,True,2026-01-10,2025,,,10.1698717948718,2.33055555555556,0.494444444444444,2.91666666666667,1,,,,,2,False,1.08097075295581830000
8478133,2025020703,8,17,True,2026-01-10,2025,,,11.1482456140351,0.386458333333333,3.3219298245614,1.375,4.84210526315789,,,,,21,False,1.08097075295581830000
8478136,2025020708,30,2,True,2026-01-10,2025,,,14.7894736842105,0.37,1.73157894736842,1.4,2.52631578947368,,,,,2,False,1.08097075295581830000
8478178,2025020705,14,4,False,2026-01-10,2025,,,17.1989583333333,3.97604166666667,1.62857142857143,3,2.85714285714286,,,,,4,False,0.94994399502177971496
8478233,2025020709,22,26,True,2026-01-10,2025,,,12.15,0.792592592592593,1.00185185185185,1.44444444444444,1.88888888888889,,,,,10,False,0.98270068450528936031
8478366,2025020701,24,7,False,2026-01-10,2025,,,10.2933333333333,1.66805555555556,1.22941176470588,2.16666666666667,2.05882352941176,,,,,14,False,1.04821406347230870000
8478396,2025020710,54,19,True,2026-01-10,2025,,,21.0614035087719,1.58645833333333,1.925,2,2.5625,,,,,2,False,1.08097075295581830000
8478397,2025020698,20,5,False,2026-01-10,2025,,,19.0391304347826,2.68560606060606,2.4695652173913,3.31818181818182,4,,,,,2,False,1.04821406347230870000
8478401,2025020697,6,3,True,2026-01-10,2025,,,12.9768115942029,3.00144927536232,1.47719298245614,2.8695652173913,2.68421052631579,,,,,2,False,0.98270068450528936031
8478402,2025020709,22,26,True,2026-01-10,2025,,,18.122,3.89861111111111,1.33095238095238,3,2.42857142857143,,,,,2,False,0.94994399502177971496
