period,control_frozen_forecast_band,variant,games,mean_prediction,mean_actual,actual_minus_forecast_bias,mae,rmse,crps,ladder_brier,ladder_log_loss,ladder_ece
2026_LATE_HOLDOUT,8.5-8.99,REPAIRED,76,9.08053591554652,8.578947368421053,-0.5015885471254657,4.187702201580492,4.876467097768896,2.7655234776850772,0.23563608363273006,0.6637979681790587,0.08814357109924481
2026_LATE_HOLDOUT,9.0-9.49,CONTROL_RAW,8,9.220629419346007,11.875,2.654370580653992,4.37178575278597,6.30170459195747,3.5598356861302003,0.2099702131171802,0.6106218455605729,0.1429973676359233
2026_LATE_HOLDOUT,9.0-9.49,REPAIRED,8,9.751939983232006,11.875,2.1230600167679943,4.553088391681198,6.157384194677165,3.4699475385871335,0.20415127105415753,0.5968761943831906,0.16609426866361932
2026_LATE_HOLDOUT,9.5-9.99,CONTROL_RAW,16,9.767936120630582,12.8125,3.044563879369419,5.204516762713246,6.561713781520393,3.7993654461662683,0.23390513576434735,0.659389846561918,0.19748400614827358
2026_LATE_HOLDOUT,9.5-9.99,REPAIRED,16,10.141875618631948,12.8125,2.670624381368052,5.129001557652742,6.478750434037702,3.7288309148812155,0.22576454298877277,0.6419071657475115,0.1697046191575947
2026_LATE_HOLDOUT,>=10.0,CONTROL_RAW,12,10.185115303506436,11.75,1.5648846964935628,4.184180245521367,5.230462571479805,2.960128220066732,0.21857849638168914,0.6272220922658287,0.05845053694194097
2026_LATE_HOLDOUT,>=10.0,REPAIRED,12,10.248258362907638,11.75,1.5017416370923626,4.027372607660318,5.009040936794785,2.836087224988336,0.21090585384414276,0.6111378197056467,0.07684307941045503
PROSPECTIVE_AUG06_15,<7.5,CONTROL_RAW,9,7.406928117087042,9.11111111111111,1.7041829940240687,3.1614186952548824,4.005893399866732,2.3020642277562584,0.25663282249279895,0.7189965079693424,0.1426217079141857
PROSPECTIVE_AUG06_15,<7.5,REPAIRED,9,8.087101542731098,9.11111111111111,1.0240095683800114,3.0423693895709563,3.716680997153788,2.136718295259457,0.23858151575110498,0.6733557994374367,0.08191202248951714
PROSPECTIVE_AUG06_15,7.5-7.99,CONTROL_RAW,60,7.759861712923583,8.2,0.4401382870764164,2.9627540540626587,3.6318564194084124,2.0810036955722517,0.21822940613351735,0.6265803171128218,0.06187447590700079
PROSPECTIVE_AUG06_15,7.5-7.99,REPAIRED,60,8.376094984298556,8.2,-0.17609498429855408,2.9530724364264445,3.5835513625528863,2.0469652692882527,0.21390733541863385,0.6171740791049882,0.028688456967900025
PROSPECTIVE_AUG06_15,8.0-8.49,CONTROL_RAW,41,8.215875668612311,8.585365853658537,0.36949018504622494,3.9158509464890314,4.881672448948116,2.758652130806811,0.2322326639991665,0.6577889461844393,0.05064879411579883
PROSPECTIVE_AUG06_15,8.0-8.49,REPAIRED,41,8.758648559619301,8.585365853658537,-0.17328270596076514,3.9897230787331455,4.915956407756048,2.7717549553062995,0.23257078335184517,0.6583833613768093,0.05189334664909761
PROSPECTIVE_AUG06_15,8.5-8.99,CONTROL_RAW,11,8.750960132341326,8.727272727272727,-0.023687405068599465,2.437896215616912,3.1425697430009105,1.8186682231148423,0.20292924676274154,0.5948067193047261,0.062141490771764174
PROSPECTIVE_AUG06_15,8.5-8.99,REPAIRED,11,9.026006088351382,8.727272727272727,-0.29873336107865306,2.5432161617127615,3.2429356323801652,1.8646767889596498,0.209556472210804,0.609100015436115,0.045826086824674046
PROSPECTIVE_AUG06_15,9.0-9.49,NO_ROWS,0,,,,,,,,,
PROSPECTIVE_AUG06_15,9.5-9.99,CONTROL_RAW,4,9.788079149599357,13.75,3.9619208504006442,3.9619208504006442,4.587936196630476,2.8968755946145976,0.23432845734995703,0.6591059778930962,0.43544954654631673
PROSPECTIVE_AUG06_15,9.5-9.99,REPAIRED,4,9.693104166875361,13.75,4.0568958331246385,4.0568958331246385,4.782247440570557,3.01947801342808,0.24395533103135178,0.680406422635452,0.4433600874205217
PROSPECTIVE_AUG06_15,>=10.0,CONTROL_RAW,1,10.049124403226593,8.0,-2.0491244032265925,2.0491244032265925,2.0491244032265925,1.2722025131611472,0.1733115360261208,0.5311885269592178,0.4009300479605912
PROSPECTIVE_AUG06_15,>=10.0,REPAIRED,1,9.475203480363096,8.0,-1.4752034803630956,1.4752034803630956,1.4752034803630956,1.1137925977682863,0.15423623455973648,0.4934014196802416,0.38277825478690414
