population,feature,variant,games,mae,rmse,actual_minus_forecast_bias,absolute_bias,mean_forecast,median_forecast,crps,governed_total_line_brier,governed_total_line_log_loss,governed_total_line_ece,mae_delta,rmse_delta,absolute_bias_delta,champion_mae,champion_rmse,champion_absolute_bias
FROZEN_2025_VALIDATION,away_expected_outs,FROZEN_DIRECT_TERM_ABLATION,2433,3.594766991723612,4.589596784698472,0.21360185360872544,0.21360185360872544,8.674602009934226,8.593065071616236,2.530400440403312,0.2270414015492005,0.6459952480423958,0.015530431204941048,-0.002439644442924216,-0.0020650470952201516,-0.0014455464133419915,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,home_workload_uncertainty_outs,FROZEN_DIRECT_TERM_ABLATION,2433,3.5978594033966718,4.59218723675507,0.2061661767562102,0.2061661767562102,8.682037686786739,8.591829380717673,2.5317382389638188,0.22716554267650482,0.6462619116140186,0.016302083426557975,0.0006527672301355203,0.0005254049613778733,-0.008881223265857219,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,away_workload_uncertainty_outs,FROZEN_DIRECT_TERM_ABLATION,2433,3.5974465090035443,4.591691816295118,0.2138941122163934,0.2138941122163934,8.674309751326556,8.595360002287384,2.5316221910999808,0.22718688735751044,0.6462996643059817,0.01629221467103271,0.0002398728370081038,2.998450142577269e-05,-0.0011532878056740303,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,home_bullpen_ra9,FROZEN_DIRECT_TERM_ABLATION,2433,3.600274338767945,4.593132994424825,0.21651191044111542,0.21651191044111542,8.671691953101835,8.607713982944366,2.532575136662051,0.22733571056489665,0.646582101027599,0.01577504210395425,0.0030677026014087616,0.001471162631133005,0.001464510419047993,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,away_bullpen_ra9,FROZEN_DIRECT_TERM_ABLATION,2433,3.5978721867440515,4.592493744789563,0.21237102962824633,0.21237102962824633,8.675832833914704,8.599774186791695,2.53207582133251,0.22723160994993416,0.6464120602864938,0.01546265215777683,0.0006655505775152726,0.0008319129958707094,-0.002676370393821098,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,home_bullpen_likely_available_reliever_count,FROZEN_DIRECT_TERM_ABLATION,2433,3.588952320531037,4.582644092938827,0.20846454477636361,0.20846454477636361,8.679739318766588,8.60109184389078,2.52609175200378,0.22654833729272744,0.644887741717651,0.014968521376964108,-0.008254315635499054,-0.009017738854865343,-0.006582855245703817,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,away_bullpen_likely_available_reliever_count,FROZEN_DIRECT_TERM_ABLATION,2433,3.5987820504869776,4.593088294351308,0.21685930181839555,0.21685930181839555,8.671344561724554,8.593667217551104,2.5325173551813007,0.2272976562173884,0.6465470455888946,0.01587454348613483,0.0015754143204413928,0.001426462557615693,0.0018119017963281192,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,home_bullpen_recent_innings_burden,FROZEN_DIRECT_TERM_ABLATION,2433,3.597473474662608,4.591759673972726,0.21533270755100853,0.21533270755100853,8.672871155991944,8.593721133093696,2.5316908333902126,0.2272016426965327,0.6463315642413662,0.016424670350970616,0.0002668384960715642,9.784217903430203e-05,0.0002853075289410978,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,away_bullpen_recent_innings_burden,FROZEN_DIRECT_TERM_ABLATION,2433,3.5954490462884454,4.5903896968636415,0.2141320125423163,0.2141320125423163,8.674071851000635,8.590730313320599,2.5307534500972,0.2270853379113158,0.6460699761754242,0.01633213972280681,-0.0017575898780908261,-0.001272134930050406,-0.0009153874797511174,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,strict_prior_total_run_factor,FROZEN_DIRECT_TERM_ABLATION,2433,3.6244033229653008,4.609955130679081,0.15733168236711415,0.15733168236711415,8.730872181175837,8.70797260622481,2.5430532323646093,0.22862236117289725,0.6492796345186354,0.012460328294673332,0.027196686798764524,0.01829329888538922,-0.057715717654953286,3.5972066361665362,4.591661831793692,0.21504740002206743
