lane,game_date,game_pk,player_id,player_name,line,retained_original_p_over,retained_original_selected_side,replayed_p_over,replayed_selected_side,absolute_difference,exact_match,numerically_equivalent,selected_side_agreement,source_feature_artifact,feature_state_status,anchor_classification
HITS05,2026-08-03,823431,681082,Bryson Stott,0.5,0.64609,over,,,,False,False,False,,STATE_UNAVAILABLE,REPLAY_MISMATCH
HITS05,2026-08-03,823431,547180,Bryce Harper,0.5,0.618804,over,0.6485237276332063,over,0.029719727633206294,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823431,650559,Bryan De La Cruz,0.5,0.629047,over,0.6478960112998177,over,0.018849011299817642,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823431,669016,Brandon Marsh,0.5,0.515032,over,,,,False,False,False,,STATE_UNAVAILABLE,REPLAY_MISMATCH
HITS05,2026-08-03,823431,665953,Andrés Chaparro,0.5,0.501503,over,,,,False,False,False,,STATE_UNAVAILABLE,REPLAY_MISMATCH
HITS05,2026-08-03,822867,553869,Elias Díaz,0.5,0.491321,under,,,,False,False,False,,STATE_UNAVAILABLE,REPLAY_MISMATCH
HITS05,2026-08-03,824160,678218,Brandon Valenzuela,0.5,0.526908,over,0.5269641826597058,over,5.6182659705750204e-05,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,824160,572233,Christian Walker,0.5,0.641045,over,0.6417967739368744,over,0.0007517739368744225,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,825095,680728,Adrian Del Castillo,0.5,0.562225,over,0.5655233941386368,over,0.003298394138636862,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,824647,669242,Tommy Edman,0.5,0.560008,over,0.5713308671878441,over,0.011322867187844143,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,824647,606192,Teoscar Hernández,0.5,0.65189,over,0.6529235509140757,over,0.0010335509140757537,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,824647,660271,Shohei Ohtani,0.5,0.476522,under,0.47819344010972015,under,0.001671440109720146,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,824647,673548,Seiya Suzuki,0.5,0.712969,over,0.7132603268733376,over,0.0002913268733376606,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
