slate_date,frozen_identity,matched_result_identity,join_count,frozen_player,official_player,join_decision
2026-07-29,2026-07-29|823351|596146|Total Bases|1.5,823351|596146,1,Max Kepler,Max Kepler,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823351|606466|Total Bases|1.5,823351|606466,1,Ketel Marte,Ketel Marte,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823351|656811|Total Bases|1.5,823351|656811,1,Ryan O'Hearn,Ryan O'Hearn,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823351|663968|Total Bases|1.5,823351|663968,1,Jake Mangum,Jake Mangum,NO_ACTION_ZERO_PA
2026-07-29,2026-07-29|823351|664040|Total Bases|1.5,823351|664040,1,Brandon Lowe,Brandon Lowe,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823351|668804|Total Bases|1.5,823351|668804,1,Bryan Reynolds,Bryan Reynolds,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823351|672515|Total Bases|1.5,823351|672515,1,Gabriel Moreno,Gabriel Moreno,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823351|672695|Total Bases|1.5,823351|672695,1,Geraldo Perdomo,Geraldo Perdomo,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823351|682998|Total Bases|1.5,823351|682998,1,Corbin Carroll,Corbin Carroll,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823351|693304|Total Bases|1.5,823351|693304,1,Nick Gonzales,Nick Gonzales,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823351|699013|Total Bases|1.5,823351|699013,1,Esmerlyn Valdez,Esmerlyn Valdez,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823596|593871|Total Bases|1.5,823596|593871,1,Jorge Polanco,Jorge Polanco,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823596|596019|Total Bases|1.5,823596|596019,1,Francisco Lindor,Francisco Lindor,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823596|621566|Total Bases|1.5,823596|621566,1,Matt Olson,Matt Olson,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823596|642201|Total Bases|1.5,823596|642201,1,Eli White,Eli White,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823596|643289|Total Bases|1.5,823596|643289,1,Mauricio Dubón,Mauricio Dubón,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823596|645277|Total Bases|1.5,823596|645277,1,Ozzie Albies,Ozzie Albies,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823596|660670|Total Bases|1.5,823596|660670,1,Ronald Acuña Jr.,Ronald Acuña Jr.,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823596|663586|Total Bases|1.5,823596|663586,1,Austin Riley,Austin Riley,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823596|666182|Total Bases|1.5,823596|666182,1,Bo Bichette,Bo Bichette,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823596|671739|Total Bases|1.5,823596|671739,1,Michael Harris II,Michael Harris II,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823596|673357|Total Bases|1.5,823596|673357,1,Luis Robert Jr.,Luis Robert Jr.,NO_ACTION_ZERO_PA
2026-07-29,2026-07-29|823596|676724|Total Bases|1.5,823596|676724,1,Jared Young,Jared Young,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823596|682626|Total Bases|1.5,823596|682626,1,Francisco Alvarez,Francisco Alvarez,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823596|686948|Total Bases|1.5,823596|686948,1,Drake Baldwin,Drake Baldwin,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823596|701807|Total Bases|1.5,823596|701807,1,Carson Benge,Carson Benge,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823596|805999|Total Bases|1.5,823596|805999,1,A.J. Ewing,A.J. Ewing,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823598|596019|Total Bases|1.5,823598|596019,1,Francisco Lindor,Francisco Lindor,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823598|621566|Total Bases|1.5,823598|621566,1,Matt Olson,Matt Olson,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823598|645277|Total Bases|1.5,823598|645277,1,Ozzie Albies,Ozzie Albies,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823598|660670|Total Bases|1.5,823598|660670,1,Ronald Acuña Jr.,Ronald Acuña Jr.,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823598|666182|Total Bases|1.5,823598|666182,1,Bo Bichette,Bo Bichette,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823598|671739|Total Bases|1.5,823598|671739,1,Michael Harris II,Michael Harris II,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823598|673357|Total Bases|1.5,823598|673357,1,Luis Robert Jr.,Luis Robert Jr.,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823598|686948|Total Bases|1.5,823598|686948,1,Drake Baldwin,Drake Baldwin,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823677|521692|Total Bases|1.5,823677|521692,1,Salvador Perez,Salvador Perez,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823677|605137|Total Bases|1.5,823677|605137,1,Josh Bell,Josh Bell,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823677|605170|Total Bases|1.5,823677|605170,1,Victor Caratini,Victor Caratini,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823677|657041|Total Bases|1.5,823677|657041,1,Lane Thomas,Lane Thomas,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823677|663616|Total Bases|1.5,823677|663616,1,Trevor Larnach,Trevor Larnach,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823677|665019|Total Bases|1.5,823677|665019,1,Kody Clemens,Kody Clemens,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823677|668904|Total Bases|1.5,823677|668904,1,Royce Lewis,Royce Lewis,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823677|679845|Total Bases|1.5,823677|679845,1,Nick Loftin,Nick Loftin,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823677|680777|Total Bases|1.5,823677|680777,1,Ryan Jeffers,Ryan Jeffers,NO_ACTION_ZERO_PA
2026-07-29,2026-07-29|823677|686469|Total Bases|1.5,,0,Vinnie Pasquantino,,MISSING_PLAYER_RESULT
2026-07-29,2026-07-29|823677|686681|Total Bases|1.5,823677|686681,1,Michael Massey,Michael Massey,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823677|686797|Total Bases|1.5,823677|686797,1,Brooks Lee,Brooks Lee,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823677|695506|Total Bases|1.5,823677|695506,1,Jac Caglianone,Jac Caglianone,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823677|695600|Total Bases|1.5,823677|695600,1,Carter Jensen,Carter Jensen,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823677|702176|Total Bases|1.5,823677|702176,1,Alan Roden,Alan Roden,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823677|807712|Total Bases|1.5,823677|807712,1,Luke Keaschall,Luke Keaschall,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823837|547180|Total Bases|1.5,823837|547180,1,Bryce Harper,Bryce Harper,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823837|592663|Total Bases|1.5,823837|592663,1,J.T. Realmuto,J.T. Realmuto,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823837|607208|Total Bases|1.5,823837|607208,1,Trea Turner,Trea Turner,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823837|624641|Total Bases|1.5,823837|624641,1,Edmundo Sosa,Edmundo Sosa,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823837|650559|Total Bases|1.5,823837|650559,1,Bryan De La Cruz,Bryan De La Cruz,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823837|656941|Total Bases|1.5,823837|656941,1,Kyle Schwarber,Kyle Schwarber,NO_ACTION_ZERO_PA
