scope_type,scope,games,mean_raw_forecast,mean_actual_total,mean_run_residual,median_run_residual,mae,rmse
DATE,2025-08-24,15,8.497794533853183,8.266666666666667,-0.23112786718651737,-0.9051356468636005,2.6498663966351867,3.60823387784754
DATE,2025-08-25,13,8.396736232409932,10.23076923076923,1.8340329983592996,0.7685317216668661,3.8825400888591117,4.655493683703925
DATE,2025-08-26,15,8.5695259040939,9.733333333333333,1.1638074292394316,1.4513289574874726,2.866463721132185,3.4826887714953196
DATE,2025-08-27,15,8.411954081894882,9.6,1.188045918105118,-1.3418997064508602,4.691381743508379,5.823035335498887
DATE,2025-08-28,8,8.328616983681341,10.25,1.9213830163186596,0.6045615616013258,4.123907353952409,5.732143316429887
DATE,2025-08-29,15,8.696794002419796,10.4,1.703205997580205,0.671206789326174,5.492422962004895,7.560286805068119
DATE,2025-08-30,15,8.832851156589689,8.666666666666666,-0.16618448992301982,-1.5638136850868207,3.694062829431474,4.328362893120222
DATE,2025-08-31,15,8.723025880643778,8.6,-0.12302588064377969,0.28487492545404614,3.0716450195176495,3.548052593892331
DATE,2025-09-01,13,8.74881183561745,11.307692307692308,2.558880472074857,2.587936005850528,3.8829257301488926,4.870282420684419
DATE,2025-09-02,14,8.66618883344148,11.142857142857142,2.4766683094156634,0.13374703418647904,4.289148688362591,5.8432519907329326
DATE,2025-09-03,15,8.646439689233317,10.133333333333333,1.4868936441000178,0.5620386013742493,4.1585058958935175,5.3730628005880545
DATE,2025-09-04,6,8.595377716706823,9.0,0.40462228329317657,-0.8451093927979594,4.213111531852147,5.358314685127727
DATE,2025-09-05,15,8.633116929912607,8.8,0.16688307008739212,-0.18868338656792538,3.6653232138121945,4.515228657147598
DATE,2025-09-06,15,8.605751362271944,8.733333333333333,0.1275819710613887,-2.4375493569534754,4.21666896883845,5.044837341078214
DATE,2025-09-07,15,8.61488916907612,8.533333333333333,-0.08155583574278703,-1.1003415708192374,2.7655160434879247,3.9613462329596296
DATE,2025-09-08,11,8.38617266483837,9.090909090909092,0.7047364260707213,-1.8896858442265092,5.047412824855419,6.116672358483516
DATE,2025-09-09,15,8.326887121086948,8.533333333333333,0.2064462122463836,0.004427067796269668,2.558945040121557,3.1675536776049666
DATE,2025-09-10,15,8.43011969975427,7.933333333333334,-0.49678636642093665,-1.133176810565109,2.5941330852838647,3.080252383586752
DATE,2025-09-11,9,8.338205822179045,7.111111111111111,-1.2270947110679329,-2.6240239597609243,3.4313382092424765,3.6925757171472102
DATE,2025-09-12,15,8.441613364598021,8.466666666666667,0.025053302068644357,1.2152736053128166,3.4621854473488507,4.062658164309285
DATE,2025-09-13,15,8.526185911204177,10.333333333333334,1.8071474221291568,0.4296622078164809,3.5493411114459446,4.87934779986096
DATE,2025-09-14,15,8.427354638171908,9.4,0.9726453618280929,1.473923250232664,3.2028885670498455,3.7522063538275785
DATE,2025-09-15,9,8.635985920762385,8.777777777777779,0.14179185701539282,-0.060337837868051025,3.617979020060326,4.389767492781782
DATE,2025-09-16,16,8.740242544334341,10.5625,1.822257455665658,2.3015530169270217,4.170493613645576,4.969899671067137
DATE,2025-09-17,15,8.730803532709977,8.8,0.06919646729002343,0.527186271057964,3.217156072865387,3.6369122558716844
DATE,2025-09-18,10,8.746379271138926,5.9,-2.8463792711389253,-3.325000349145933,4.018205537683632,4.718516714853322
DATE,2025-09-19,15,8.556109852602672,10.733333333333333,2.177223480730662,1.255443979746973,3.525143154598283,5.0502457057661125
DATE,2025-09-20,16,8.648893271645901,7.3125,-1.336393271645902,-1.0569783613587775,2.6520385616793067,3.41914063359639
DATE,2025-09-21,15,8.57537545949084,7.333333333333333,-1.2420421261575068,-0.5666611312662582,2.8397882792169984,3.5114052787364702
DATE,2025-09-22,3,8.142291305765854,12.0,3.8577086942341445,3.0737854552658472,3.8577086942341445,4.878019279422167
DATE,2025-09-23,15,8.417330182310515,8.266666666666667,-0.15066351564384625,-1.4279479707915304,3.203418376711175,3.9530323301607257
DATE,2025-09-24,15,8.490977351875364,7.866666666666666,-0.6243106852086946,-0.9135734746190529,2.228636697948351,2.7131695774758633
