feature,population,stage1_frozen_mae_delta,stage3_refit_mae_delta,stage1_frozen_rmse_delta,stage3_refit_rmse_delta,stage1_frozen_crps_delta,stage3_refit_crps_delta,stage1_frozen_brier_delta,stage3_refit_brier_delta,stage1_frozen_log_loss_delta,stage3_refit_log_loss_delta,stage1_frozen_absolute_bias_delta,stage3_refit_actual_minus_forecast_bias_delta,upstream_role_preserved
home_bullpen_recent_innings_burden,2026_SEQUENTIAL_EARLY,0.00018341036900926255,0.0001822453990163453,0.00010327855971414834,0.00019088243779830094,8.230617379334504e-05,0.00014062933225167384,1.0994857273349812e-05,1.850632471137037e-05,2.487194289479966e-05,4.259206949364103e-05,-0.0005353612838565613,0.0004395041373149722,True
away_bullpen_recent_innings_burden,2026_SEQUENTIAL_EARLY,0.00045932008607874053,0.000851508705208559,-0.00010875786481623351,-0.0001660411221839908,-0.00022463691836849264,-0.00023548727033606554,-1.0325092464180674e-05,6.04999896847147e-08,-4.3861816969914535e-05,-3.0282643068479942e-05,0.0019517612353187053,-0.0019108896742785486,True
strict_prior_total_run_factor,2026_SEQUENTIAL_EARLY,0.044593417311902694,0.02897911331512537,0.038262922123853293,0.030996874202660507,0.022062771590902752,0.01874018582121595,0.0025052029376495533,0.0021745543487510788,0.0054006007136444545,0.0047536047288490035,-0.05956274250904503,0.04993592497473209,True
park_history_depth,2026_SEQUENTIAL_EARLY,0.07366065110140507,0.02713971591368347,-0.008661257244886755,-0.014701609532532522,-0.010538184072413248,-0.012105675984591002,-0.001200034070548972,-0.001280202448663531,-0.0030450284910823466,-0.0032673557243901863,-0.2751618437833354,-0.407132427668799,True
game_number,2026_SEQUENTIAL_EARLY,0.0008618528665707004,0.0005268722703353212,0.00032160246854928687,0.00010999623772089961,0.0002977045365262221,0.00012179111595633785,4.745172826906008e-05,2.5009075125481672e-05,0.00010988106718445856,5.2035679432238524e-05,-0.0019650322632530637,-0.0012590040372389977,True
league_total,2026_LATE_HOLDOUT,-0.004693424681841307,-0.00011902934707563873,0.020788595493461237,0.0030747179609118547,0.011999954759875031,0.0015747634737106608,0.001092062529273491,0.00013642751687961696,0.0027806912313582677,0.000323973544509526,0.13262363922455112,0.01103332636203258,True
home_offense,2026_LATE_HOLDOUT,0.0017288396177010945,0.000206603169826014,-0.000276784062676505,0.0023415197557508094,0.00014544450932829633,0.0014570094057311245,6.225183147051672e-05,0.00016037505720628564,0.00018138431924685783,0.0003754553234766034,-0.015090169058990632,0.006308772418672781,True
home_prevention,2026_LATE_HOLDOUT,0.0005064786993407289,-0.002169083466264432,-0.0020409717396443483,-0.0029854616557729585,-0.0004895311267434366,-0.0021702304419624063,6.193255677805487e-05,-0.0002541757830754332,0.0002603725942601498,-0.0005984953468523013,0.00792851791571092,-0.009777494050620561,True
away_offense,2026_LATE_HOLDOUT,0.00166851375179089,-0.001487812859681359,-0.0017044372098142802,-0.00016997535423790566,-0.0009382642861210932,-0.0004347386329475178,-4.480535959650034e-05,-6.319662154705141e-05,-9.062907388934782e-05,-9.592443848571719e-05,-0.01374504484164174,-0.000757886441272837,True
away_prevention,2026_LATE_HOLDOUT,0.0009658325251562516,0.0023758290105364566,0.0002759679724322339,-0.001524680637217557,0.00025226446037462935,-0.0007785405770945886,6.729254912229976e-05,-4.3404531069185515e-05,0.0001525337281081951,-0.0001599008800472479,0.014655092622559485,-0.011350923271597813,True
