slate_date,game_pk,batter_mlb_id,player_name,game,result,total_bases,resolution_reason_code,outcome_source,outcome_source_path,resolution_method,source_revision,resolved_timestamp_utc
2026-07-27,823195,668930,Brice Turang,MIL @ SF,LOSS,0,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050172+00:00
2026-07-27,823195,669003,Garrett Mitchell,MIL @ SF,LOSS,0,EXACT_ID_PLAYER_STATS_FALLBACK,MLB_PLAYER_STATS,mlb.player_stats,EXACT_ID_OFFICIAL_PLAYER_GAME,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050178+00:00
2026-07-27,823195,669477,Casey Schmitt,MIL @ SF,LOSS,1,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050183+00:00
2026-07-27,823195,671218,Heliot Ramos,MIL @ SF,LOSS,0,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050189+00:00
2026-07-27,823195,683734,Andrew Vaughn,MIL @ SF,LOSS,1,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050194+00:00
2026-07-27,823195,694192,Jackson Chourio,MIL @ SF,LOSS,1,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050200+00:00
2026-07-27,823195,805811,Bryce Eldridge,MIL @ SF,LOSS,0,EXACT_ID_PLAYER_STATS_FALLBACK,MLB_PLAYER_STATS,mlb.player_stats,EXACT_ID_OFFICIAL_PLAYER_GAME,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050205+00:00
2026-07-27,823195,806198,Cooper Pratt,MIL @ SF,LOSS,0,EXACT_ID_PLAYER_STATS_FALLBACK,MLB_PLAYER_STATS,mlb.player_stats,EXACT_ID_OFFICIAL_PLAYER_GAME,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050211+00:00
2026-07-27,823195,808982,Jung Hoo Lee,MIL @ SF,NO_ACTION,,NOT_IN_FINAL_LINEUP_NO_ACTION,OFFICIAL_LINEUP_AND_PARTICIPATION,STATSAPI_REFRESH,NO_ACTION_FINAL_LINEUP,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050217+00:00
2026-07-27,823353,545121,Ildemaro Vargas,ARI @ PIT,LOSS,1,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050224+00:00
2026-07-27,823353,571448,Nolan Arenado,ARI @ PIT,LOSS,0,NOT_IN_FINAL_LINEUP_LATER_APPEARANCE_ACTION,MLB_PLAYER_STATS,mlb.player_stats,EXACT_ID_OFFICIAL_PLAYER_GAME,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050229+00:00
2026-07-27,823353,596146,Max Kepler,ARI @ PIT,WIN,4,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050235+00:00
2026-07-27,823353,606466,Ketel Marte,ARI @ PIT,LOSS,1,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050240+00:00
2026-07-27,823353,656811,Ryan O'Hearn,ARI @ PIT,LOSS,0,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050246+00:00
2026-07-27,823353,663968,Jake Mangum,ARI @ PIT,LOSS,1,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050252+00:00
2026-07-27,823353,664040,Brandon Lowe,ARI @ PIT,WIN,4,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050258+00:00
2026-07-27,823353,668804,Bryan Reynolds,ARI @ PIT,WIN,2,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050278+00:00
2026-07-27,823353,672515,Gabriel Moreno,ARI @ PIT,LOSS,0,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050331+00:00
2026-07-27,823353,672695,Geraldo Perdomo,ARI @ PIT,LOSS,1,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050341+00:00
2026-07-27,823353,680728,Adrian Del Castillo,ARI @ PIT,LOSS,0,EXACT_ID_PLAYER_STATS_FALLBACK,MLB_PLAYER_STATS,mlb.player_stats,EXACT_ID_OFFICIAL_PLAYER_GAME,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050347+00:00
2026-07-27,823353,682988,Tyler Locklear,ARI @ PIT,LOSS,0,EXACT_ID_PLAYER_STATS_FALLBACK,MLB_PLAYER_STATS,mlb.player_stats,EXACT_ID_OFFICIAL_PLAYER_GAME,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050358+00:00
2026-07-27,823353,682997,Tyler Callihan,ARI @ PIT,LOSS,0,EXACT_ID_PLAYER_STATS_FALLBACK,MLB_PLAYER_STATS,mlb.player_stats,EXACT_ID_OFFICIAL_PLAYER_GAME,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050365+00:00
2026-07-27,823353,682998,Corbin Carroll,ARI @ PIT,LOSS,1,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050371+00:00
2026-07-27,823353,693304,Nick Gonzales,ARI @ PIT,WIN,2,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050376+00:00
2026-07-27,823353,694378,Jacob Gonzalez,ARI @ PIT,LOSS,1,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050381+00:00
2026-07-27,823353,699013,Esmerlyn Valdez,ARI @ PIT,LOSS,0,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050386+00:00
2026-07-27,823597,543760,Marcus Semien,ATL @ NYM,WIN,6,NOT_IN_FINAL_LINEUP_LATER_APPEARANCE_ACTION,MLB_PLAYER_STATS,mlb.player_stats,EXACT_ID_OFFICIAL_PLAYER_GAME,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050393+00:00
2026-07-27,823597,596019,Francisco Lindor,ATL @ NYM,WIN,11,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050399+00:00
2026-07-27,823597,621566,Matt Olson,ATL @ NYM,LOSS,0,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050434+00:00
2026-07-27,823597,643289,Mauricio Dubón,ATL @ NYM,LOSS,0,EXACT_ID_PLAYER_STATS_FALLBACK,MLB_PLAYER_STATS,mlb.player_stats,EXACT_ID_OFFICIAL_PLAYER_GAME,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050440+00:00
2026-07-27,823597,645277,Ozzie Albies,ATL @ NYM,WIN,5,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.050445+00:00
