slate_date,normal_runs_present,runs_examined_in_original_inventory,original_exclusion_decision,original_missing_requirement,original_evidence_paths_searched,original_run_selected_or_rejected,original_row_count
2026-07-07,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-07-08,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-07-09,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-07-10,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-07-11,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-07-12,4,4,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-07-13,0,0,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-07-14,0,0,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-07-15,0,0,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-07-16,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-07-17,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-07-18,4,4,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-07-19,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-07-20,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-07-21,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-07-22,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-07-23,6,6,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-07-24,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-07-25,6,6,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-07-26,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-07-27,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-07-28,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
