row_type,feature,pitcher_id,games,comparison,within_pitcher_pearson,within_pitcher_month_pearson,within_pitcher_date_and_quality_controlled_pearson,within_pitcher_direct_signal,count_actual_pearson,mean_within_pitcher_count_change,count_raw_residual_pearson,count_repaired_residual_pearson,count_quality_pearson
PITCHER,home_starter_prior_starts,656288,42,final_total,,,,ABSENT,-0.1301422833589283,1.9024390243902438,-0.05606117401714632,-0.08439194992747247,0.3457569621160036
PITCHER,home_starter_prior_starts,656302,58,final_total,,,,ABSENT,-0.16691816877876398,2.0350877192982457,-0.08256942944974395,-0.09976149032836361,-0.18043296314342191
PITCHER,home_starter_prior_starts,656412,11,final_total,,,,ABSENT,-0.2553474714184144,1.5,-0.25658669095833886,-0.2652368891507677,-0.25859436587189694
PITCHER,home_starter_prior_starts,656427,49,final_total,,,,ABSENT,-0.17632244945173187,2.1458333333333335,-0.12912744354741496,-0.1372353468137388,-0.1698669841511011
PITCHER,home_starter_prior_starts,656492,10,final_total,,,,ABSENT,-0.3504539369821841,2.111111111111111,-0.33456916362761663,-0.3216260024874718,0.03669488522282238
PITCHER,home_starter_prior_starts,656550,26,final_total,,,,ABSENT,0.1649233158639856,1.88,0.20962390020060429,0.20484628737645263,0.24094401999658716
PITCHER,home_starter_prior_starts,656557,29,final_total,,,,ABSENT,-0.19029779201645233,2.0714285714285716,-0.15046917568595602,-0.1612641220130305,-0.5217091337500631
PITCHER,home_starter_prior_starts,656605,58,final_total,,,,ABSENT,0.23987197136608562,1.9824561403508771,0.2557176177485345,0.24872102919417766,0.6029460993541901
PITCHER,home_starter_prior_starts,656629,14,final_total,,,,ABSENT,-0.19883279935864356,1.9230769230769231,-0.12215817654958709,-0.13080426259721503,-0.37888632667403105
PITCHER,home_starter_prior_starts,656731,28,final_total,,,,ABSENT,0.1951166576743961,1.9259259259259258,0.23038303372481017,0.19732217525195697,0.249402982735611
PITCHER,home_starter_prior_starts,656756,28,final_total,,,,ABSENT,0.347344147486854,1.8148148148148149,0.3621892300745203,0.34777016673042666,0.36645867954790085
PITCHER,home_starter_prior_starts,656849,41,final_total,,,,ABSENT,0.17274490295811595,2.075,0.22070405416358702,0.20546682731216204,-0.7385473457731576
PITCHER,home_starter_prior_starts,656876,34,final_total,,,,ABSENT,0.03440985776550127,1.878787878787879,0.10973880583213351,0.0932325025894467,0.36137847439342186
PITCHER,home_starter_prior_starts,657006,32,final_total,,,,ABSENT,-0.10501591329852547,1.8387096774193548,-0.083397472307194,-0.08883345342548538,0.6611525106837635
PITCHER,home_starter_prior_starts,657277,60,final_total,,,,ABSENT,0.2864649308146122,1.9661016949152543,0.3358723240721089,0.3218107574090429,-0.40161330543954293
PITCHER,home_starter_prior_starts,657376,33,final_total,,,,ABSENT,-0.1737399068344193,1.875,-0.1347144005783022,-0.1552478848440692,-0.7232174322595654
